Rank,Job ID,Title,Level,TF-IDF %,Skill %,Match %,Matched Skills,Missing Skills,Resume
3,AI017,,Senior-Level,44.4,72.4,55.6,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, R, Reinforcement Learning, Senior-Level",demo_rahul_ai_senior.docx.txt
4,AI012,AI Engineer - Experienced,Senior-Level,44.0,72.4,55.4,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face Transformers, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, R, Reinforcement Learning, Senior-Level",demo_rahul_ai_senior.docx.txt
5,AI011,AI Engineer - Experienced,Senior-Level,43.0,70.0,53.8,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face Transformers, Kubernetes, LLMs, ML, MLOps, Model Monitoring, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Generative AI, Java, LIME, ONNX, R ...",demo_rahul_ai_senior.docx.txt
6,AI010,AI Engineer - Experienced,Mid-Senior Level,46.2,64.5,53.5,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face Transformers, Kubernetes, LLMs, ML, MLOps, Model Monitoring, NLP, PyTorch, Python, SHAP, Scikit-learn, TensorFlow","Apache Spark, C++, Computer Vision, GCP, Generative AI, Java, LIME, Mid-Senior Level ...",demo_rahul_ai_senior.docx.txt
7,AI018,AI Engineer - Experienced,Senior-Level,40.5,72.4,53.3,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, R, Reinforcement Learning, Senior-Level",demo_rahul_ai_senior.docx.txt
8,AI016,AI Engineer - Experienced,Senior-Level,41.4,70.0,52.8,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Generative AI, Java, LIME, ONNX, R ...",demo_rahul_ai_senior.docx.txt
9,AI013,AI Engineer - Experienced,Senior-Level,41.1,69.0,52.3,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Java, LIME, ONNX, R, Reinforcement Learning ...",demo_rahul_ai_senior.docx.txt
10,AI014,AI Engineer - Experienced,Senior-Level,38.3,70.0,51.0,"AI, AWS, Azure, CI/CD, Cloud, Deep Learning, Docker, Hadoop, Hugging Face, Keras, Kubernetes, LLMs, ML, MLOps, NLP, PyTorch, Python, SHAP, Scikit-learn, Spark, TensorFlow","C++, Computer Vision, GCP, Generative AI, Java, LIME, ONNX, R ...",demo_rahul_ai_senior.docx.txt
1,2,Full Stack Developer - Entry Level,Fresher,29.0,63.2,42.7,"Agile, CSS, Flask, Full Stack Developer, Git, HTML, JavaScript, MongoDB, MySQL, Node.js, PostgreSQL, React","Angular, Backend, Entry-Level, Fresher, Frontend, Vue.js, Web Development",demo_sara_fullstack.docx.txt
2,12,Full Stack Developer - Experienced,Experienced,33.1,53.8,41.4,"Agile, CI/CD, CSS, Django, Docker, Flask, Full Stack Developer, Git, HTML, MongoDB, MySQL, Node.js, PostgreSQL, React","Angular, Backend, Cloud Development, Cloud Platforms, Experienced, Frontend, JavaScript (ES6+), Kubernetes ...",demo_sara_fullstack.docx.txt
3,WEB-E-013,Web Developer,Experienced,17.7,70.0,38.6,"AWS, Docker, JavaScript, MongoDB, Node.js, REST APIs, React","Express.js, GraphQL, Kubernetes",demo_sara_fullstack.docx.txt
4,7,Full Stack Developer - Entry Level,Fresher,23.5,61.1,38.5,"Agile, CSS, Django, Full Stack Developer, Git, HTML, JavaScript, MongoDB, MySQL, Node.js, React","Angular, Backend, Entry-Level, Fresher, Frontend, Vue.js, Web Development",demo_sara_fullstack.docx.txt
5,5,Full Stack Developer - Entry Level,Fresher,28.4,52.6,38.1,"Agile, CSS, Django, Flask, Full Stack Developer, Git, HTML, JavaScript, Node.js, React","Angular, Backend, Entry-Level, Fresher, Frontend, NoSQL, SQL, Vue.js ...",demo_sara_fullstack.docx.txt
6,16,Full Stack Developer - Experienced,Experienced,27.9,53.6,38.1,"Agile, CI/CD, CSS, Django, Docker, Flask, Full Stack Developer, Git, HTML, MongoDB, MySQL, Node.js, PostgreSQL, RESTful APIs, React","Angular, Backend, Cloud, Cloud Platforms, Enterprise Applications, Experienced, Frontend, JavaScript (ES6+) ...",demo_sara_fullstack.docx.txt
7,WEB-E-019,Web Developer,Experienced,16.7,70.0,38.0,"AWS, Docker, JavaScript, MongoDB, Node.js, REST APIs, React","Express.js, GraphQL, Kubernetes",demo_sara_fullstack.docx.txt
8,SE-E18,Software Engineer - Experienced,Experienced,17.9,66.7,37.4,"Agile, CSS, Git, HTML, JavaScript, REST APIs, React, Redux","Front-End, Mentoring, Software Engineer, Testing",demo_sara_fullstack.docx.txt
9,WEB-E-011,Web Developer,Experienced,17.6,66.7,37.2,"AWS, CI/CD, Docker, JavaScript, MongoDB, Node.js, REST APIs, React","Express.js, GraphQL, SQL, TypeScript",demo_sara_fullstack.docx.txt
10,15,Full Stack Developer - Experienced,Experienced,25.9,52.0,36.4,"Agile, CI/CD, Django, Docker, Flask, Full Stack Developer, Git, JavaScript, MongoDB, MySQL, Node.js, PostgreSQL, React","Angular, Backend, CSS3, Cloud, Experienced, Frontend, HTML5, Kubernetes ...",demo_sara_fullstack.docx.txt
